Type,Amount,Fee,Date,Address,Confirmations,Balance,TxID,Coin
generate,12.26993662,,13/2/2022 1:10:21,RTTgP8NJe5gxQGathnsYFutWV26dRSdacU,1407,transparent,85231d0e551dcb7ebf74dbf8ab2106c8e0980bb8ab061898effe7334c299bb0f,VRSCTEST
generate,12.28384492,,13/2/2022 1:08:53,RVSt8BVVGk9JiyWgvPV1HMyPfsMKiS4Djg,1412,transparent,5a623d34e20d7c93b7554a5157faad3a9d82d4df0ea5ce56840edf030cbf50ab,VRSCTEST
generate,12.31702226,,13/2/2022 0:57:17,RLfovQ5bYe7UmpriEg2thZrMmaUNEGFJsh,1423,transparent,91873a7c240c929bb819721448a6890e57ddc883f639acd8dc27eec34f38686b,VRSCTEST
